propertyCode,address,url
93713058,Calle Doctor Nicasio Benlloch,https://www.idealista.com/inmueble/93713058/
95768330,Juan Bautista Comes,https://www.idealista.com/inmueble/95768330/
95768462,Calle de Felipe Salvador,https://www.idealista.com/inmueble/95768462/
95767951,"Calle de la Democracia, Nou Moles",https://www.idealista.com/inmueble/95767951/
95720789,barrio La Petxina,https://www.idealista.com/inmueble/95720789/
95726855,barrio El Mercat,https://www.idealista.com/inmueble/95726855/
95599661,barrio Malilla,https://www.idealista.com/inmueble/95599661/
95767501,Calle Santos Justo y Pastor,https://www.idealista.com/inmueble/95767501/
95767433,"av malvarosa, 20",https://www.idealista.com/inmueble/95767433/
95600514,barrio Sant Francesc,https://www.idealista.com/inmueble/95600514/
95599612,barrio Russafa,https://www.idealista.com/inmueble/95599612/
95302774,barrio Campanar,https://www.idealista.com/inmueble/95302774/
95234995,barrio En Corts,https://www.idealista.com/inmueble/95234995/
95659654,barrio El Carme,https://www.idealista.com/inmueble/95659654/
91679352,"Francisco Cubells, 10  ",https://www.idealista.com/inmueble/91679352/
95302409,barrio El Cabanyal-El Canyamelar,https://www.idealista.com/inmueble/95302409/
95320802,barrio La Creu Coberta,https://www.idealista.com/inmueble/95320802/
95302103,barrio Benimaclet,https://www.idealista.com/inmueble/95302103/
95163599,barrio Benicalap,https://www.idealista.com/inmueble/95163599/
95766665,barrio Sant Francesc,https://www.idealista.com/inmueble/95766665/
95766638,"Avenida Valladolid, 3",https://www.idealista.com/inmueble/95766638/
33924117,Avenida del Cardenal Benlloch,https://www.idealista.com/inmueble/33924117/
95464308,Calle San Vicente Mártir,https://www.idealista.com/inmueble/95464308/
95449159,Calle de Colón,https://www.idealista.com/inmueble/95449159/
95765238,"Avenida del Primado Reig, 113",https://www.idealista.com/inmueble/95765238/
95763674,barrio En Corts,https://www.idealista.com/inmueble/95763674/
95761970,Calle de Pere de València,https://www.idealista.com/inmueble/95761970/
95761969,"Calle de la Puebla de Valverde, 7",https://www.idealista.com/inmueble/95761969/
95761772,barrio Sant Llorenç,https://www.idealista.com/inmueble/95761772/
86741556,barrio Ciutat Fallera,https://www.idealista.com/inmueble/86741556/
95761479,Calle de Dolores Marqués,https://www.idealista.com/inmueble/95761479/
88099280,barrio Mestalla,https://www.idealista.com/inmueble/88099280/
95759621,La Constitución - Canaleta,https://www.idealista.com/inmueble/95759621/
95759210,barrio Tormos,https://www.idealista.com/inmueble/95759210/
95756481,"Gran Via Fernando el Católico, 70",https://www.idealista.com/inmueble/95756481/
82411193,barrio Benimaclet,https://www.idealista.com/inmueble/82411193/
95753656,barrio Sant Francesc,https://www.idealista.com/inmueble/95753656/
95752777,Calle de Sant Pius X,https://www.idealista.com/inmueble/95752777/
95752602,barrio El Carme,https://www.idealista.com/inmueble/95752602/
95752244,barrio El Mercat,https://www.idealista.com/inmueble/95752244/
95751671,barrio La Petxina,https://www.idealista.com/inmueble/95751671/
95751360,Calle del Pare Rico,https://www.idealista.com/inmueble/95751360/
95748088,"Avenida del Puerto, 109",https://www.idealista.com/inmueble/95748088/
